ID,CATEGORY
0,banana
1,hat
2,penguin
3,hand
4,penguin
5,violin
6,nose
7,banana
8,chair
9,keyboard
10,bulldozer
11,eyeglasses
12,harp
13,hat
14,violin
15,spider
16,keyboard
17,nose
18,flashlight
19,hand
20,eyeglasses
21,violin
22,eyeglasses
23,laptop
24,harp
25,flashlight
26,pig
27,pig
28,hat
29,keyboard
30,bulldozer
31,spider
32,chair
33,parrot
34,laptop
35,foot
36,laptop
37,flashlight
38,harp
39,snowman
40,spider
41,violin
42,spider
43,nose
44,parrot
45,keyboard
46,trombone
47,foot
48,keyboard
49,nose
50,spider
51,foot
52,chair
53,flashlight
54,harp
55,nose
56,snowman
57,trombone
58,pig
59,nose
60,spider
61,banana
62,skyscraper
63,chair
64,bulldozer
65,violin
66,laptop
67,laptop
68,keyboard
69,snowman
70,spider
71,chair
72,eyeglasses
73,harp
74,spider
75,parrot
76,violin
77,harp
78,skyscraper
79,eyeglasses
80,bulldozer
81,penguin
82,flashlight
83,spider
84,keyboard
85,eyeglasses
86,laptop
87,trombone
88,violin
89,keyboard
90,flashlight
91,keyboard
92,bulldozer
93,flashlight
94,skyscraper
95,flashlight
96,hand
97,banana
98,violin
99,snowman
100,laptop
101,bulldozer
102,hand
103,harp
104,eyeglasses
105,foot
106,spider
107,bulldozer
108,chair
109,hat
110,flashlight
111,laptop
112,trombone
113,banana
114,banana
115,hand
116,harp
117,keyboard
118,skyscraper
119,skyscraper
120,flashlight
121,laptop
122,pig
123,chair
124,penguin
125,pig
126,pig
127,pig
128,bulldozer
129,flashlight
130,penguin
131,nose
132,hand
133,harp
134,hat
135,violin
136,banana
137,spider
138,hat
139,trombone
140,nose
141,snowman
142,hand
143,hat
144,eyeglasses
145,chair
146,eyeglasses
147,harp
148,violin
149,spider
150,laptop
151,chair
152,foot
153,foot
154,foot
155,hand
156,violin
157,eyeglasses
158,trombone
159,hat
160,eyeglasses
161,foot
162,chair
163,penguin
164,laptop
165,flashlight
166,foot
167,keyboard
168,hat
169,laptop
170,parrot
171,penguin
172,pig
173,pig
174,penguin
175,banana
176,banana
177,trombone
178,flashlight
179,flashlight
180,laptop
181,laptop
182,hand
183,snowman
184,eyeglasses
185,hand
186,bulldozer
187,violin
188,flashlight
189,laptop
190,keyboard
191,snowman
192,trombone
193,foot
194,skyscraper
195,flashlight
196,eyeglasses
197,eyeglasses
198,skyscraper
199,banana
200,chair
201,eyeglasses
202,chair
203,snowman
204,eyeglasses
205,bulldozer
206,spider
207,skyscraper
208,nose
209,snowman
210,bulldozer
211,parrot
212,harp
213,pig
214,banana
215,nose
216,foot
217,hand
218,eyeglasses
219,snowman
220,snowman
221,violin
222,hand
223,penguin
224,eyeglasses
225,eyeglasses
226,penguin
227,eyeglasses
228,skyscraper
229,eyeglasses
230,violin
231,spider
232,chair
233,flashlight
234,pig
235,keyboard
236,flashlight
237,foot
238,eyeglasses
239,trombone
240,parrot
241,laptop
242,flashlight
243,hand
244,violin
245,violin
246,spider
247,flashlight
248,keyboard
249,laptop
250,harp
251,bulldozer
252,parrot
253,harp
254,keyboard
255,harp
256,hat
257,pig
258,laptop
259,pig
260,eyeglasses
261,skyscraper
262,nose
263,eyeglasses
264,laptop
265,bulldozer
266,flashlight
267,banana
268,skyscraper
269,chair
270,violin
271,violin
272,hat
273,spider
274,penguin
275,keyboard
276,parrot
277,violin
278,nose
279,violin
280,foot
281,chair
282,snowman
283,banana
284,banana
285,violin
286,harp
287,trombone
288,keyboard
289,trombone
290,pig
291,flashlight
292,trombone
293,violin
294,harp
295,hand
296,eyeglasses
297,penguin
298,penguin
299,keyboard
300,banana
301,flashlight
302,flashlight
303,skyscraper
304,penguin
305,penguin
306,eyeglasses
307,penguin
308,skyscraper
309,banana
310,skyscraper
311,pig
312,banana
313,banana
314,eyeglasses
315,pig
316,chair
317,flashlight
318,trombone
319,trombone
320,flashlight
321,chair
322,banana
323,spider
324,chair
325,eyeglasses
326,harp
327,flashlight
328,violin
329,banana
330,spider
331,trombone
332,harp
333,bulldozer
334,flashlight
335,hat
336,chair
337,chair
338,violin
339,penguin
340,trombone
341,keyboard
342,chair
343,banana
344,hat
345,hat
346,keyboard
347,banana
348,trombone
349,bulldozer
350,eyeglasses
351,foot
352,snowman
353,parrot
354,chair
355,hat
356,harp
357,bulldozer
358,penguin
359,spider
360,chair
361,violin
362,hat
363,skyscraper
364,penguin
365,flashlight
366,hand
367,trombone
368,pig
369,keyboard
370,spider
371,bulldozer
372,hand
373,spider
374,penguin
375,nose
376,snowman
377,harp
378,skyscraper
379,snowman
380,violin
381,nose
382,skyscraper
383,pig
384,penguin
385,spider
386,hat
387,hat
388,hand
389,hand
390,hand
391,violin
392,pig
393,laptop
394,hat
395,skyscraper
396,banana
397,laptop
398,hat
399,laptop
400,harp
401,eyeglasses
402,bulldozer
403,keyboard
404,hand
405,skyscraper
406,flashlight
407,harp
408,penguin
409,snowman
410,trombone
411,pig
412,penguin
413,bulldozer
414,laptop
415,keyboard
416,flashlight
417,keyboard
418,spider
419,eyeglasses
420,penguin
421,laptop
422,hand
423,spider
424,bulldozer
425,laptop
426,laptop
427,foot
428,eyeglasses
429,violin
430,foot
431,skyscraper
432,pig
433,pig
434,harp
435,flashlight
436,parrot
437,chair
438,eyeglasses
439,chair
440,banana
441,keyboard
442,foot
443,violin
444,spider
445,eyeglasses
446,spider
447,hat
448,penguin
449,bulldozer
450,flashlight
451,bulldozer
452,harp
453,hand
454,pig
455,violin
456,chair
457,laptop
458,foot
459,banana
460,chair
461,banana
462,eyeglasses
463,bulldozer
464,violin
465,penguin
466,snowman
467,banana
468,spider
469,laptop
470,bulldozer
471,laptop
472,chair
473,flashlight
474,chair
475,chair
476,chair
477,foot
478,violin
479,laptop
480,harp
481,laptop
482,spider
483,eyeglasses
484,flashlight
485,spider
486,chair
487,snowman
488,flashlight
489,laptop
490,nose
491,trombone
492,keyboard
493,bulldozer
494,harp
495,skyscraper
496,bulldozer
497,trombone
498,pig
499,hat
500,trombone
501,flashlight
502,harp
503,banana
504,foot
505,keyboard
506,laptop
507,trombone
508,keyboard
509,violin
510,skyscraper
511,eyeglasses
512,harp
513,parrot
514,penguin
515,banana
516,pig
517,pig
518,harp
519,chair
520,pig
521,hand
522,parrot
523,bulldozer
524,flashlight
525,penguin
526,eyeglasses
527,bulldozer
528,hand
529,nose
530,eyeglasses
531,eyeglasses
532,pig
533,keyboard
534,spider
535,chair
536,violin
537,keyboard
538,spider
539,hand
540,trombone
541,hat
542,laptop
543,chair
544,nose
545,penguin
546,trombone
547,bulldozer
548,penguin
549,eyeglasses
550,parrot
551,banana
552,parrot
553,skyscraper
554,bulldozer
555,harp
556,bulldozer
557,hat
558,spider
559,nose
560,flashlight
561,hat
562,laptop
563,chair
564,keyboard
565,snowman
566,skyscraper
567,pig
568,penguin
569,snowman
570,banana
571,spider
572,chair
573,penguin
574,harp
575,trombone
576,parrot
577,hand
578,harp
579,trombone
580,parrot
581,harp
582,nose
583,chair
584,eyeglasses
585,pig
586,violin
587,parrot
588,skyscraper
589,penguin
590,chair
591,hat
592,spider
593,bulldozer
594,laptop
595,flashlight
596,snowman
597,penguin
598,bulldozer
599,nose
600,hand
601,eyeglasses
602,penguin
603,skyscraper
604,chair
605,banana
606,harp
607,chair
608,hat
609,parrot
610,keyboard
611,chair
612,flashlight
613,skyscraper
614,banana
615,laptop
616,penguin
617,nose
618,parrot
619,flashlight
620,violin
621,skyscraper
622,trombone
623,penguin
624,laptop
625,laptop
626,foot
627,hat
628,eyeglasses
629,parrot
630,violin
631,parrot
632,laptop
633,hat
634,bulldozer
635,eyeglasses
636,flashlight
637,hat
638,bulldozer
639,parrot
640,hat
641,penguin
642,penguin
643,chair
644,parrot
645,flashlight
646,spider
647,hand
648,keyboard
649,penguin
650,nose
651,foot
652,flashlight
653,spider
654,hand
655,banana
656,nose
657,eyeglasses
658,banana
659,pig
660,foot
661,banana
662,banana
663,hand
664,spider
665,laptop
666,penguin
667,trombone
668,penguin
669,laptop
670,flashlight
671,flashlight
672,trombone
673,hat
674,pig
675,banana
676,snowman
677,hand
678,hand
679,pig
680,foot
681,flashlight
682,trombone
683,harp
684,spider
685,nose
686,harp
687,spider
